23.05.2025,instrumentType,expiryDate,optionType,strikePrice,openPrice,highPrice,lowPrice,closePrice,volume,name,token
25700Call,Index Options,29-May-2025,Call,25700,7.5,18.5,5.95,9.85,582900,NIFTY29MAY2525700CE,61787
25800Call,Index Options,29-May-2025,Call,25800,5.7,12.25,4.5,6.25,582361,NIFTY29MAY2525800CE,61791
25000Put,Index Options,29-May-2025,Put,25000,409.0,431.5,231.15,266.55,509862,NIFTY29MAY2525000PE,61756
25350Call,Index Options,29-May-2025,Call,25350,23.1,70.5,18.2,43.85,503242,NIFTY29MAY2525350CE,61769
26800Call,Index Options,29-May-2025,Call,26800,1.5,1.6,1.1,1.35,485094,NIFTY29MAY2526800CE,61917
24550Put,Index Options,29-May-2025,Put,24550,149.0,159.4,77.25,87.7,478498,NIFTY29MAY2524550PE,61686
26500Call,Index Options,29-May-2025,Call,26500,1.4,1.8,1.2,1.5,450327,NIFTY29MAY2526500CE,61827
25450Call,Index Options,29-May-2025,Call,25450,16.05,49.55,12.95,29.35,444235,NIFTY29MAY2525450CE,61775
24600Call,Index Options,29-May-2025,Call,24600,241.85,456.65,211.0,379.15,438484,NIFTY29MAY2524600CE,61687
23000Put,Index Options,29-May-2025,Put,23000,3.45,4.2,2.95,3.25,413104,NIFTY29MAY2523000PE,61526
25550Call,Index Options,29-May-2025,Call,25550,11.85,33.8,9.4,19.3,405434,NIFTY29MAY2525550CE,61781
23500Put,Index Options,29-May-2025,Put,23500,8.35,9.5,6.1,6.9,381507,NIFTY29MAY2523500PE,61546
25900Call,Index Options,29-May-2025,Call,25900,4.0,8.0,3.6,4.15,374608,NIFTY29MAY2525900CE,61797
20350Put,Index Options,29-May-2025,Put,20350,1.0,1.2,0.7,0.8,349364,NIFTY29MAY2520350PE,61322
24450Put,Index Options,29-May-2025,Put,24450,107.05,122.7,58.75,66.8,348071,NIFTY29MAY2524450PE,61682
24650Call,Index Options,29-May-2025,Call,24650,209.9,419.95,184.6,344.3,342084,NIFTY29MAY2524650CE,61689
24100Put,Index Options,29-May-2025,Put,24100,40.0,45.5,23.2,26.1,334803,NIFTY29MAY2524100PE,61668
24350Put,Index Options,29-May-2025,Put,24350,90.2,95.0,44.65,50.7,317566,NIFTY29MAY2524350PE,61678
25650Call,Index Options,29-May-2025,Call,25650,8.95,22.5,6.2,12.6,311245,NIFTY29MAY2525650CE,61785
26100Call,Index Options,29-May-2025,Call,26100,2.7,3.65,1.8,2.1,310255,NIFTY29MAY2526100CE,61805
24250Put,Index Options,29-May-2025,Put,24250,62.15,69.5,34.05,38.5,303046,NIFTY29MAY2524250PE,61674
23800Put,Index Options,29-May-2025,Put,23800,16.75,19.8,11.25,12.65,302985,NIFTY29MAY2523800PE,61558
26200Call,Index Options,29-May-2025,Call,26200,2.2,2.65,1.6,1.75,284732,NIFTY29MAY2526200CE,61809
23900Put,Index Options,29-May-2025,Put,23900,18.05,25.9,14.15,15.8,275947,NIFTY29MAY2523900PE,61620
25750Call,Index Options,29-May-2025,Call,25750,6.5,14.8,5.15,7.75,265507,NIFTY29MAY2525750CE,61789
23700Put,Index Options,29-May-2025,Put,23700,13.2,15.3,9.0,10.1,261874,NIFTY29MAY2523700PE,61554
24950Put,Index Options,29-May-2025,Put,24950,369.4,389.25,207.2,238.65,254139,NIFTY29MAY2524950PE,61754
24150Put,Index Options,29-May-2025,Put,24150,42.05,52.65,26.4,29.9,246238,NIFTY29MAY2524150PE,61670
23600Put,Index Options,29-May-2025,Put,23600,8.5,11.75,7.2,8.2,208528,NIFTY29MAY2523600PE,61550
24500Call,Index Options,29-May-2025,Call,24500,297.9,536.65,270.4,454.95,194682,NIFTY29MAY2524500CE,61683
23300Put,Index Options,29-May-2025,Put,23300,6.85,6.85,4.3,4.7,186764,NIFTY29MAY2523300PE,61538
24050Put,Index Options,29-May-2025,Put,24050,32.45,39.55,20.6,23.25,184386,NIFTY29MAY2524050PE,61666
25850Call,Index Options,29-May-2025,Call,25850,4.85,9.95,4.0,5.2,170384,NIFTY29MAY2525850CE,61793
23200Put,Index Options,29-May-2025,Put,23200,4.75,5.35,3.7,4.0,168750,NIFTY29MAY2523200PE,61534
